study_hours,attendance,assignments_score,exam_score,sleep_hours,final_result
6.0,43,70,100,3.5,1
2.0,38,81,70,4.4,0
2.6,37,94,26,3.9,0
4.7,90,44,45,7.4,1
8.8,100,57,91,4.3,1
5.0,94,25,70,8.5,1
5.5,73,68,56,7.7,1
8.6,56,25,66,8.6,1
10.0,68,56,57,9.5,1
4.1,47,62,68,8.2,1
7.7,95,51,39,5.8,1
11.7,53,60,33,9.5,1
7.8,34,80,93,6.2,1
5.4,58,87,52,3.9,1
7.2,84,20,71,9.2,1
1.6,50,72,70,5.3,1
11.1,32,92,45,9.5,1
9.3,49,47,91,7.3,1
6.0,78,83,46,6.5,1
8.0,65,67,50,3.4,1
7.3,82,40,28,5.9,1
4.0,77,48,49,5.6,1
3.8,61,89,61,8.1,1
9.7,48,41,21,8.5,1
1.2,76,59,63,9.5,1
4.9,43,24,89,7.8,1
3.3,30,27,44,7.3,0
4.8,87,88,64,9.1,1
5.1,96,27,54,8.1,1
11.8,100,84,56,6.1,1
6.4,74,89,33,6.8,1
5.6,94,27,88,4.7,1
4.0,70,93,74,4.0,1
6.3,56,33,82,7.2,1
5.9,66,45,62,5.9,1
4.2,97,51,70,3.1,1
5.8,30,70,23,3.2,1
7.5,60,97,75,7.4,1
5.7,87,47,45,9.7,1
4.4,47,45,40,9.8,1
9.7,53,69,46,4.9,1
2.4,82,43,65,5.4,1
10.0,30,39,74,6.0,1
9.0,58,76,96,3.7,1
8.7,48,83,41,9.5,1
6.5,93,31,94,9.8,1
9.7,64,27,43,3.3,1
9.7,36,37,81,9.7,1
5.3,71,22,57,8.3,1
4.0,47,97,72,4.8,1
6.5,58,87,66,8.2,1
1.8,57,43,73,4.6,1
1.9,30,34,49,3.8,1
4.9,60,57,34,5.1,1
7.0,47,26,58,7.2,1
9.6,81,61,77,4.7,1
9.0,70,32,26,9.2,1
2.6,59,92,41,7.6,1
4.6,42,38,83,5.2,1
8.1,97,76,38,4.0,1
8.8,89,84,99,6.5,1
5.3,62,33,78,5.1,1
9.7,79,86,33,7.6,1
4.8,100,70,63,5.1,1
1.1,87,25,45,5.5,0
5.2,70,84,26,8.7,1
1.5,67,73,20,9.7,1
9.3,52,100,74,8.2,1
8.2,88,24,37,4.1,1
11.0,75,89,91,9.2,1
3.1,52,38,52,9.4,0
2.7,93,76,95,8.8,1
5.4,91,47,33,3.3,1
2.1,84,71,42,4.1,0
7.1,48,57,71,8.8,1
8.5,89,86,68,6.4,1
8.3,62,22,57,6.5,1
11.2,93,90,41,6.8,1
8.5,100,43,90,6.3,1
2.5,100,96,37,7.4,1
10.2,60,65,85,9.3,1
9.1,37,59,86,4.9,1
5.7,57,37,89,7.5,1
3.2,59,24,82,3.6,1
1.5,61,61,73,7.0,1
3.1,77,50,88,7.9,1
9.5,30,73,68,7.8,1
1.8,57,67,35,7.9,0
7.4,85,47,27,9.5,1
5.1,84,79,96,7.3,1
1.7,49,20,93,6.0,0
9.6,86,58,45,4.7,1
9.3,73,88,52,5.5,1
10.5,95,63,83,4.8,1
11.0,44,100,74,3.6,1
3.7,46,52,43,10.0,1
8.0,61,32,67,9.8,1
9.4,48,94,85,3.5,1
8.3,92,57,42,3.4,1
8.2,97,82,77,6.3,1
10.8,92,23,86,9.4,1
5.2,86,40,25,4.9,1
6.2,75,30,79,8.5,1
4.6,69,78,21,4.5,1
2.1,42,47,89,9.4,1
8.1,60,81,91,4.6,1
2.8,90,51,81,8.8,1
8.6,68,72,40,4.9,1
8.1,99,58,89,9.7,1
4.3,85,29,63,6.6,1
11.1,88,37,63,7.7,1
4.2,31,42,49,6.7,0
11.7,33,28,58,5.5,1
3.5,69,45,95,5.9,1
4.2,87,60,49,9.0,1
6.3,89,49,36,9.7,1
9.2,67,40,51,5.1,1
3.1,62,22,81,3.8,1
9.5,32,90,45,6.1,1
6.9,71,28,32,5.6,1
9.8,50,64,35,7.3,1
7.7,77,69,86,8.6,1
1.4,72,100,96,7.2,1
5.0,89,86,28,8.5,1
7.5,87,71,91,8.7,1
3.4,49,29,92,9.3,1
11.5,45,62,72,8.5,1
1.1,80,83,41,6.7,1
3.1,83,50,53,9.4,1
9.4,49,84,34,5.5,1
3.1,95,25,48,3.6,1
4.5,38,65,53,7.5,1
4.5,48,79,93,7.5,1
4.6,89,57,86,4.6,1
7.7,50,65,97,7.3,1
7.8,57,29,94,6.2,1
3.7,34,40,43,3.9,0
10.7,78,65,25,7.0,1
6.5,75,67,46,6.4,1
2.6,69,43,53,5.7,1
2.2,38,98,80,9.0,1
9.4,72,83,23,7.8,1
2.9,83,71,39,5.3,1
4.2,60,38,52,7.3,1
10.6,79,31,43,6.4,1
8.8,36,77,86,5.8,1
1.6,72,42,30,9.9,0
8.5,36,47,50,8.9,1
2.1,100,26,62,8.0,1
2.4,74,78,32,3.0,1
3.1,73,20,25,3.7,0
3.0,75,46,30,6.7,1
5.3,93,58,92,9.1,1
2.6,73,90,26,9.2,1
2.2,33,64,76,7.8,1
2.7,59,75,73,4.8,1
8.6,89,61,46,3.6,1
9.9,73,99,35,9.3,1
11.4,35,23,20,9.6,1
10.0,53,81,70,4.8,1
9.2,38,73,42,4.2,1
11.7,46,58,100,6.2,1
5.1,78,22,83,3.6,1
11.8,99,59,83,3.9,1
10.1,80,85,39,7.6,1
9.3,88,31,67,3.1,1
9.9,95,37,73,8.8,1
8.8,44,94,66,9.6,1
7.3,100,80,60,9.2,1
9.0,31,93,70,5.0,1
8.6,100,89,54,6.0,1
6.4,92,53,78,4.2,1
2.2,100,72,36,9.5,1
11.8,46,71,100,4.8,1
5.8,77,25,97,5.4,1
11.9,63,80,26,7.3,1
8.4,41,66,63,4.1,1
1.3,54,78,92,7.4,1
9.6,60,84,78,9.8,1
9.2,36,54,38,7.6,1
5.6,97,54,100,8.7,1
6.1,60,23,46,8.9,0
5.6,33,37,64,5.0,1
1.9,92,74,25,9.0,0
2.6,56,30,46,4.2,1
10.9,81,63,81,4.8,1
7.7,64,61,87,7.2,1
5.1,33,90,45,9.7,1
8.5,49,43,60,4.5,1
6.7,57,47,20,4.1,1
1.0,99,21,84,8.1,1
9.1,65,87,37,7.3,1
5.4,93,72,30,4.7,1
3.2,88,40,95,6.6,1
9.0,52,28,63,3.5,1
8.8,82,65,89,7.8,1
8.9,79,89,82,4.3,1
11.1,51,86,34,3.1,1
8.0,83,88,34,7.2,1
11.1,90,77,46,8.4,1
12.0,88,61,66,8.7,1
1.5,100,99,73,5.1,1
7.1,88,27,40,3.3,1
4.7,52,88,94,5.5,1
1.8,86,23,79,9.2,1
2.8,41,35,20,7.4,0
1.8,46,61,36,8.9,0
9.0,83,35,57,5.4,1
5.7,56,67,29,6.3,1
1.4,90,56,84,5.5,1
10.2,80,45,62,7.6,1
4.1,31,83,85,9.0,1
5.7,98,20,79,6.2,1
3.8,30,39,56,5.7,1
11.5,80,49,33,4.0,1
10.5,30,82,91,7.5,1
10.0,89,21,97,9.6,1
7.2,47,47,55,9.6,1
11.2,60,35,87,3.3,1
11.9,77,36,34,6.5,1
10.1,47,58,71,8.5,1
2.9,33,43,46,3.4,0
7.3,44,100,78,4.0,1
9.8,79,66,38,5.8,1
5.9,73,68,33,7.6,1
4.1,75,65,68,5.8,1
2.5,54,98,34,9.7,1
11.2,77,22,69,7.9,1
9.0,49,84,57,7.6,1
2.2,80,51,75,3.8,1
6.8,39,61,37,8.3,1
1.7,83,46,88,6.6,1
8.4,92,78,85,3.5,1
7.6,32,55,92,4.3,1
4.5,91,39,53,7.4,1
9.4,94,72,25,3.8,1
5.0,65,85,23,9.9,1
1.6,92,89,90,7.8,1
9.9,95,69,75,9.6,1
3.2,81,24,63,9.1,1
4.6,97,40,29,5.6,1
2.6,49,63,70,5.1,1
4.2,77,86,86,5.0,1
10.1,61,84,73,5.0,1
4.5,56,63,34,6.3,1
11.1,75,94,63,8.3,1
10.7,70,47,38,5.7,1
9.5,48,34,84,8.0,1
7.5,68,54,54,7.7,1
7.2,56,64,84,4.6,1
2.1,66,20,66,8.5,0
3.7,63,40,63,3.1,1
2.4,46,60,72,4.2,1
2.5,33,39,73,6.8,1
5.6,49,93,100,6.0,1
11.0,33,30,50,4.8,1
3.1,56,26,97,3.0,1
5.6,80,53,60,4.2,1
5.0,81,63,49,7.1,1
10.9,70,96,85,5.0,1
11.3,87,20,78,7.9,1
5.9,70,91,85,4.9,1
7.8,88,60,100,4.2,1
1.9,54,67,35,6.3,1
2.6,67,50,21,8.9,0
7.0,60,99,39,8.2,1
2.7,39,41,29,5.4,0
7.3,57,81,95,3.9,1
6.8,60,47,88,8.4,1
9.9,59,64,68,9.8,1
1.9,41,40,23,3.6,0
3.9,60,36,32,5.8,0
7.9,39,31,27,7.8,1
2.1,81,99,69,3.8,1
8.0,78,85,89,4.3,1
3.0,40,60,49,9.9,1
11.7,38,88,23,8.6,1
11.0,72,73,51,7.0,1
10.8,98,23,71,7.9,1
10.1,35,98,44,4.5,1
4.8,83,62,36,4.2,0
4.8,51,40,40,4.8,0
2.4,87,80,88,9.6,1
5.4,83,96,25,9.3,1
8.3,35,86,82,8.9,1
9.7,49,95,83,6.5,1
1.6,35,92,44,3.8,0
2.3,32,35,48,3.8,1
11.5,74,36,60,9.5,1
9.1,35,97,86,8.4,1
9.9,98,54,26,7.8,1
2.4,84,61,77,3.9,1
5.1,49,99,82,5.6,1
3.4,71,27,48,8.6,1
7.3,35,91,62,4.7,1
5.2,65,90,71,3.5,1
1.4,55,24,66,9.0,1
3.8,59,78,71,6.3,1
5.1,83,45,67,7.5,1
9.6,37,95,88,5.9,1
6.1,77,32,36,4.6,1
1.9,97,42,56,9.1,1
1.7,91,92,51,8.0,1
4.5,96,52,22,7.9,1
9.1,92,56,57,6.0,1
7.9,65,79,33,5.8,1
11.1,62,69,30,9.2,1
5.4,81,83,87,8.7,1
3.3,59,97,47,5.5,1
1.3,60,77,79,9.6,1
6.8,79,82,21,8.5,1
4.8,67,98,88,6.9,1
9.6,61,31,43,5.2,1
11.2,52,80,40,6.0,1
2.0,40,95,99,9.1,1
11.2,70,97,100,3.8,1
1.1,59,73,97,4.3,1
9.3,98,23,68,9.5,1
10.2,78,43,77,5.4,1
1.2,76,67,36,6.0,1
4.8,56,76,32,9.6,1
10.4,46,57,89,6.6,1
9.2,100,21,41,8.4,1
2.0,51,74,50,4.3,0
11.5,80,46,100,3.1,1
3.0,38,44,20,7.6,0
6.7,63,75,86,3.8,1
2.5,31,47,68,9.9,1
4.1,74,58,91,4.2,1
2.9,75,42,68,8.5,1
2.9,71,26,65,3.7,1
1.7,76,100,48,7.4,1
7.1,90,32,91,6.8,1
5.0,30,72,73,4.8,1
10.8,63,67,57,8.9,1
9.0,47,32,42,9.4,1
5.4,74,44,54,7.5,1
11.8,88,26,55,3.3,1
3.2,76,82,31,7.5,1
11.5,73,78,76,9.7,1
4.1,31,31,50,8.2,0
11.5,91,24,25,5.1,1
2.7,66,95,25,3.3,1
7.3,48,97,63,4.3,1
5.2,86,63,67,3.3,1
6.1,60,41,62,7.8,1
1.2,49,55,90,3.2,1
9.7,30,24,68,6.7,1
11.4,59,24,98,8.4,1
1.9,88,80,77,3.2,1
9.7,36,26,63,9.8,1
10.0,53,81,72,7.6,1
8.6,41,77,22,9.9,1
1.9,37,75,48,4.1,1
2.4,96,80,36,4.6,1
6.7,96,55,91,4.3,1
10.6,100,99,62,5.7,1
2.4,34,35,71,6.5,1
2.9,100,25,60,3.8,1
2.1,61,58,52,4.1,1
4.1,43,28,78,3.4,1
11.5,94,29,41,4.1,1
5.2,83,67,48,3.4,1
7.3,55,97,74,8.8,1
11.1,38,40,20,7.6,1
8.0,83,56,95,8.2,1
4.8,92,99,27,6.9,1
8.7,92,24,44,9.1,1
9.9,30,27,93,9.9,1
8.3,63,68,52,3.3,1
1.2,82,69,23,7.5,0
6.4,90,59,70,5.8,1
8.1,59,42,36,3.6,0
9.6,94,73,50,5.3,1
6.2,64,54,62,4.2,1
9.0,84,72,24,7.9,1
4.0,77,83,41,8.1,1
6.3,70,54,40,5.4,1
9.3,63,56,60,6.8,1
8.4,72,24,65,5.1,1
3.5,47,70,81,5.3,1
9.0,41,51,33,9.5,1
10.3,49,92,69,4.2,1
10.2,89,57,70,3.9,1
8.8,53,57,90,6.1,1
6.8,62,100,73,6.6,1
5.6,67,23,42,8.3,1
2.9,40,76,84,7.5,1
10.5,34,25,71,9.3,1
1.9,30,74,40,7.2,1
6.8,65,70,44,3.1,1
7.7,40,66,24,4.4,1
7.6,69,24,29,6.9,0
9.0,43,99,95,3.5,1
11.1,68,92,98,6.3,1
6.0,33,90,95,8.1,1
11.1,31,56,73,4.7,1
8.2,88,48,20,4.7,1
2.9,68,34,26,9.3,1
1.8,52,99,99,4.0,1
8.3,99,96,77,9.7,1
2.5,55,69,25,6.9,1
5.6,55,25,43,4.2,1
10.1,44,31,40,8.8,1
2.5,34,34,76,3.3,0
7.8,43,52,70,7.1,1
7.4,45,94,92,9.0,1
7.7,70,30,67,3.3,1
4.4,67,21,85,6.9,1
5.2,72,50,62,4.0,1
4.9,68,90,53,5.1,1
5.7,100,65,90,7.4,1
3.1,73,79,33,4.3,0
9.6,65,59,53,8.7,1
2.8,65,64,74,7.0,1
2.9,67,76,94,5.0,1
8.2,35,88,46,3.9,1
9.7,88,69,41,3.8,1
7.5,77,29,90,8.6,1
9.6,46,99,29,5.5,1
9.1,62,48,61,5.7,1
1.9,99,51,90,4.4,1
3.1,39,57,27,7.4,1
2.8,45,39,20,8.7,0
11.1,38,28,64,3.7,1
9.9,70,71,48,9.0,1
4.9,64,31,43,8.5,1
10.7,39,83,45,9.2,1
10.0,39,43,80,8.9,1
11.5,45,62,81,4.6,1
7.3,65,72,64,4.7,1
9.0,72,21,89,9.1,1
8.3,88,20,57,3.9,1
1.2,55,95,23,6.8,1
9.7,82,27,94,8.8,1
8.9,83,82,37,5.6,1
5.6,36,73,75,8.9,1
7.7,53,35,60,5.8,1
8.7,36,46,94,5.3,1
1.8,46,46,84,5.7,1
6.6,64,73,78,8.1,1
1.1,70,26,100,6.9,1
10.9,87,67,84,4.4,1
7.3,65,41,43,9.1,1
5.4,59,57,90,3.8,1
4.3,56,92,31,8.1,1
11.9,66,95,82,3.8,1
8.3,74,92,75,9.7,1
3.7,74,45,99,3.3,1
5.2,63,76,28,5.6,1
1.8,100,89,52,8.4,1
4.6,41,99,23,5.2,0
10.4,83,74,35,9.8,1
5.9,95,41,99,5.6,1
2.8,62,65,49,4.0,1
10.7,93,77,59,8.3,1
3.5,39,36,82,8.9,1
8.4,60,25,78,6.9,1
10.5,38,74,42,9.9,1
3.2,80,52,48,5.5,1
8.4,82,60,51,7.4,1
8.2,69,72,76,4.2,1
3.4,51,80,69,9.8,1
3.6,46,46,93,8.5,1
1.2,63,30,54,9.6,0
7.0,96,73,36,4.1,1
11.7,65,58,68,6.6,1
6.0,88,21,68,9.7,1
5.5,78,26,25,7.0,1
1.2,63,27,23,5.7,1
3.9,36,27,36,3.6,0
4.6,58,74,26,6.0,1
8.6,49,61,20,4.0,1
5.7,82,87,83,4.0,1
1.2,34,44,63,5.3,0
1.6,54,42,40,8.7,0
9.5,39,90,43,8.7,1
1.6,83,40,25,8.0,1
11.6,98,26,88,8.0,1
5.1,45,25,32,6.5,0
7.8,41,90,48,4.9,1
3.7,80,52,100,4.7,1
2.0,100,24,85,9.1,1
9.0,84,84,63,3.2,1
4.5,56,89,55,3.7,1
5.1,82,76,79,6.1,1
8.0,85,21,49,9.7,1
5.5,30,99,90,7.2,1
5.6,71,34,80,4.0,1
6.3,54,54,26,4.3,0
7.4,88,55,37,8.2,1
4.3,60,55,99,7.8,1
8.3,55,72,81,5.5,1
11.4,55,70,21,6.4,1
8.3,99,37,71,3.7,1
11.9,33,78,65,7.7,1
4.1,67,76,98,4.0,1
5.4,42,76,55,5.2,1
11.1,37,71,75,8.8,1
5.8,36,82,39,9.6,1
1.7,83,46,60,5.5,1
2.7,72,63,95,5.3,1
11.2,33,62,33,6.4,1
7.2,41,99,22,7.0,1
8.9,71,50,32,8.0,1
7.7,64,89,69,3.6,1
8.6,36,100,29,4.0,1
4.5,41,80,44,5.0,1
1.4,52,32,48,6.5,1
2.1,97,93,29,6.2,1
3.4,57,97,41,7.2,1
2.8,95,21,88,9.8,1
4.9,69,26,70,6.4,1
4.4,52,36,94,9.3,1
11.1,40,82,66,4.9,1
7.9,36,60,42,8.5,1
5.5,71,88,68,3.2,1
4.1,100,41,100,4.0,1
6.3,78,38,89,4.8,1
11.3,76,40,48,4.9,1
10.7,70,66,63,5.7,1
7.0,48,32,75,5.8,1
8.7,44,61,58,3.9,1
5.1,63,82,33,4.4,1
11.3,68,89,82,8.1,1
3.5,65,84,76,5.4,1
2.0,44,70,48,3.4,0
7.8,78,90,86,9.1,1
5.4,63,44,67,5.5,1
6.4,54,39,21,8.4,1
4.3,66,86,28,3.6,1
1.3,74,90,25,8.3,1
4.7,75,30,30,3.9,0
3.7,49,46,50,5.2,0
7.6,77,60,64,7.4,1
9.2,35,30,20,5.2,1
10.9,34,55,36,7.4,1
2.5,35,40,33,7.9,0
10.6,55,32,90,5.2,1
4.4,30,80,57,6.7,1
1.5,31,66,69,7.3,0
1.3,71,92,80,5.7,1
7.5,74,57,87,9.5,1
11.1,83,26,70,5.4,1
8.7,86,80,29,8.7,1
5.0,35,48,100,7.8,1
2.3,49,28,31,7.5,1
6.1,77,57,92,4.6,1
2.9,87,94,66,6.2,1
5.0,42,87,72,9.8,1
3.1,98,54,86,9.7,1
9.4,75,26,28,7.7,1
4.4,85,87,72,9.9,1
3.9,80,98,90,4.6,1
5.7,30,76,40,7.5,1
2.6,57,78,43,4.2,1
11.0,52,66,56,7.0,1
9.2,98,81,60,6.2,1
8.2,98,88,45,5.9,1
5.1,31,90,63,5.1,1
7.1,62,25,93,3.2,1
7.7,31,88,47,4.9,1
3.9,84,79,40,5.2,1
4.1,50,28,60,3.9,1
9.6,63,61,80,3.5,1
2.1,67,92,64,9.1,1
1.8,70,86,78,5.1,1
2.9,71,94,33,9.5,1
4.2,57,74,28,3.9,1
9.0,92,60,44,6.8,1
11.5,33,86,59,9.6,1
2.3,54,26,22,5.8,0
11.2,61,50,79,9.0,1
3.9,98,29,27,4.3,1
11.0,75,84,89,4.0,1
10.3,37,93,89,8.0,1
5.9,79,37,100,3.3,1
6.6,61,96,73,5.1,1
5.9,92,70,85,7.9,1
5.8,51,36,86,4.0,1
10.3,44,62,91,7.6,1
7.9,90,92,45,3.9,1
6.9,65,65,81,5.4,1
1.4,47,71,84,7.1,1
4.8,47,45,77,6.3,1
11.7,47,76,65,5.1,1
3.8,85,59,60,9.0,1
2.1,89,62,55,4.2,1
11.7,54,21,72,9.3,1
2.3,53,20,99,7.0,1
3.6,55,99,28,8.4,1
3.8,96,55,81,3.8,1
4.1,35,89,93,9.0,1
4.9,80,97,61,5.9,1
5.1,93,75,63,8.5,1
3.2,92,65,43,4.8,1
1.6,70,93,98,9.8,1
3.5,73,98,44,5.5,1
9.1,72,57,21,10.0,1
5.3,76,89,39,6.4,1
7.7,38,69,74,4.5,1
11.2,41,69,60,8.0,1
7.0,95,89,99,10.0,1
11.5,71,35,23,3.7,1
3.5,84,24,80,8.1,1
6.6,88,88,69,6.8,1
2.6,79,46,65,6.6,1
9.1,42,95,73,4.7,1
1.5,58,88,36,9.6,1
2.7,98,52,94,8.3,1
4.8,35,47,69,4.1,0
1.4,30,96,42,9.1,1
7.0,80,71,93,6.2,1
7.8,90,91,65,5.0,1
10.3,87,54,28,8.2,1
8.3,33,24,64,3.1,1
5.3,90,39,96,4.7,1
10.4,89,80,30,6.7,1
1.4,83,37,45,4.0,1
10.4,72,52,34,7.4,1
5.7,32,95,62,9.1,1
3.4,71,50,56,8.2,1
5.3,31,74,69,9.6,1
11.4,47,87,65,6.7,1
11.1,70,52,93,6.3,1
7.1,78,95,85,4.5,1
4.1,59,63,96,9.7,1
3.4,89,41,44,8.7,0
10.3,88,71,27,7.5,1
2.5,88,25,89,4.1,1
9.8,46,46,24,6.1,1
7.4,43,30,57,6.6,1
7.8,98,37,90,5.4,1
10.5,40,90,20,6.6,1
1.7,34,98,68,8.1,1
5.7,70,93,60,6.0,1
5.1,85,78,20,4.0,1
1.0,69,62,71,9.0,1
4.6,80,23,54,7.5,1
6.6,44,97,39,6.1,1
6.4,70,65,38,9.4,1
6.2,30,61,36,7.2,1
9.9,69,63,80,5.3,1
4.3,64,31,43,4.5,0
6.9,95,51,85,3.4,1
6.3,51,92,96,7.6,1
6.1,39,46,76,6.0,1
3.6,66,74,52,6.7,1
5.0,95,58,96,9.2,1
8.3,31,74,41,4.6,1
11.6,68,72,72,8.0,1
11.8,49,95,70,8.1,1
5.0,44,22,27,5.9,0
9.4,38,27,63,4.9,1
3.7,92,33,98,5.4,1
7.5,79,64,62,4.2,1
6.3,86,68,65,9.6,1
5.9,32,38,24,10.0,1
8.4,75,26,71,9.5,1
5.6,83,21,93,4.7,1
3.9,43,28,64,8.6,1
8.2,83,34,36,9.7,1
11.8,39,65,92,4.0,1
11.6,92,43,45,6.7,1
7.3,40,63,72,9.1,1
9.9,31,100,37,9.3,1
10.1,77,87,62,9.8,1
6.3,99,67,49,3.9,1
3.3,38,22,20,8.2,0
11.2,35,94,22,5.1,1
2.5,50,99,75,3.8,1
5.3,64,35,33,9.3,1
12.0,94,29,23,4.9,1
6.9,87,87,48,5.3,1
5.3,38,47,45,3.9,0
8.0,95,94,70,7.0,1
7.4,53,30,62,6.4,1
10.8,78,96,91,9.3,1
11.1,87,67,41,9.7,1
8.9,54,58,68,7.6,1
10.1,54,35,88,4.5,1
1.6,94,46,46,7.7,1
11.6,36,53,85,8.2,1
11.2,87,73,53,4.2,1
9.2,62,34,36,6.7,1
1.4,55,74,88,7.9,1
5.1,32,47,28,3.3,1
10.5,78,70,72,9.5,1
10.2,72,99,69,7.2,1
3.9,68,29,24,5.8,1
5.1,77,29,74,8.5,1
11.8,52,61,57,6.0,1
1.6,39,93,73,7.1,1
2.0,65,91,29,3.0,1
8.1,84,38,76,4.4,1
12.0,65,89,51,9.4,1
11.2,87,30,42,9.1,1
10.8,42,94,89,8.7,1
7.3,83,84,65,5.1,1
5.2,50,42,80,4.2,1
5.3,91,20,77,6.4,1
1.4,54,89,97,8.6,1
3.2,40,92,93,8.5,1
8.8,90,86,50,4.2,1
9.3,90,86,71,4.5,1
4.2,72,29,63,7.7,1
11.7,89,24,83,8.3,1
1.6,57,85,25,8.7,1
4.4,54,72,33,8.8,0
5.6,89,77,54,5.7,1
10.9,82,57,26,9.9,1
2.1,45,48,52,7.0,0
7.8,84,80,67,6.4,1
5.1,54,79,86,4.8,1
5.6,100,60,24,7.7,1
2.2,84,41,29,4.3,1
2.0,51,41,79,4.2,1
4.7,82,80,44,7.3,1
9.3,80,86,73,5.2,1
4.1,30,38,43,6.5,0
3.4,62,63,53,9.1,1
7.2,85,81,35,7.4,1
1.1,77,89,59,3.1,1
2.5,99,45,92,7.4,1
2.6,98,78,21,6.1,1
4.0,39,43,93,7.7,1
8.9,33,84,95,6.5,1
3.0,88,82,21,5.9,1
9.6,69,23,37,9.1,1
5.2,53,74,62,3.5,1
10.7,67,79,76,8.8,1
11.4,67,79,78,8.5,1
4.9,58,29,71,3.0,1
6.5,92,59,92,9.8,1
5.7,55,62,44,7.9,1
2.7,96,75,93,7.1,1
11.5,81,20,68,10.0,1
11.8,32,46,52,5.3,1
9.0,43,73,43,6.5,1
2.6,50,30,49,3.5,1
2.3,92,70,64,9.6,1
2.5,47,79,45,7.7,0
6.1,94,76,53,3.6,1
2.7,92,47,79,4.7,1
8.3,49,32,51,6.4,1
4.7,69,78,22,8.1,1
2.3,90,71,73,5.5,1
1.7,41,49,33,3.7,0
2.8,59,42,44,5.2,0
11.7,99,80,100,5.8,1
2.0,34,23,72,9.1,0
4.0,95,31,99,6.2,1
8.2,95,21,86,5.4,1
10.8,81,94,62,3.9,1
6.7,84,92,58,9.5,1
9.7,84,64,77,9.4,1
6.6,63,52,23,7.9,1
3.6,56,24,69,6.4,0
8.5,32,96,56,7.9,1
1.4,31,55,64,7.7,0
2.9,67,71,55,8.1,1
9.6,85,70,39,7.0,1
11.0,88,85,88,7.1,1
3.4,60,22,20,3.4,0
2.5,82,74,27,10.0,0
9.5,41,53,87,7.3,1
3.9,75,24,31,5.3,1
8.4,99,90,57,7.3,1
4.2,43,99,55,7.5,1
2.3,41,75,41,3.9,0
12.0,53,97,49,4.7,1
5.9,40,36,79,5.7,1
4.4,91,28,66,3.3,1
5.2,100,81,78,9.0,1
6.2,48,71,22,3.0,0
7.6,80,63,66,7.4,1
5.7,31,99,78,10.0,1
5.5,83,50,63,4.6,1
4.0,81,88,27,3.9,1
5.4,73,29,80,8.9,1
5.7,82,87,32,6.8,1
8.5,43,92,57,9.6,1
10.0,94,32,25,6.6,1
9.7,63,91,100,8.6,1
2.9,46,67,82,6.2,1
10.7,41,46,24,8.0,1
9.2,63,63,75,6.8,1
8.0,73,58,66,9.5,1
3.0,33,23,93,9.4,1
2.1,81,59,79,8.1,1
6.1,63,46,76,5.8,1
1.9,56,83,55,6.1,1
8.4,44,65,90,8.8,1
8.8,78,38,52,4.8,1
4.0,89,38,89,9.7,1
10.5,76,53,48,3.8,1
7.6,92,89,59,8.8,1
10.7,76,89,61,8.7,1
8.0,56,55,68,9.8,1
5.1,57,75,70,9.8,1
3.3,81,37,24,6.8,1
1.9,38,28,58,5.8,0
8.1,32,64,33,4.8,1
4.9,50,77,79,7.3,1
8.4,33,89,29,8.1,1
9.7,71,99,65,7.3,1
2.1,68,98,47,3.6,1
4.5,33,87,78,4.9,1
1.6,41,21,95,9.4,0
11.3,30,85,60,8.7,1
5.4,49,29,42,8.1,1
3.2,77,67,56,7.1,1
7.0,65,93,56,7.4,1
4.4,54,37,85,3.9,1
8.0,50,63,67,8.5,1
9.0,39,76,55,5.4,1
1.3,84,21,91,7.4,1
2.7,100,42,47,4.1,1
8.6,57,60,100,9.9,1
8.2,99,67,56,8.8,1
9.7,37,29,64,3.8,1
11.0,60,81,77,9.1,1
6.3,39,53,48,5.9,1
7.9,73,92,69,6.8,1
1.1,94,80,88,4.2,1
10.4,92,98,58,4.0,1
3.8,90,76,55,6.7,1
2.7,77,86,66,6.4,1
9.2,43,98,93,9.9,1
6.4,80,31,53,7.7,1
9.8,81,39,53,8.5,1
6.2,96,48,87,3.6,1
5.2,65,95,29,4.4,1
4.5,41,88,78,3.8,1
4.3,30,24,62,9.6,0
9.7,32,82,83,8.3,1
8.8,79,75,22,5.2,1
8.4,84,90,80,8.5,1
11.2,94,71,75,7.7,1
11.0,41,50,89,4.0,1
2.3,70,92,65,3.0,1
5.7,65,44,78,8.2,1
5.9,38,66,80,8.3,1
8.8,35,67,60,3.2,1
2.1,83,69,64,6.1,1
2.8,39,56,31,3.4,0
6.4,70,60,46,5.3,1
3.7,42,68,95,5.6,1
4.6,88,89,50,6.6,1
7.9,99,32,64,6.7,1
11.5,93,100,50,5.9,1
1.6,98,46,80,9.4,1
10.9,34,90,31,9.7,1
2.9,44,97,60,9.8,1
1.2,65,47,29,5.0,0
3.9,79,30,80,9.1,1
9.3,39,76,21,6.9,1
4.1,88,47,35,6.6,1
6.0,89,57,33,8.6,1
6.5,80,25,25,5.2,0
2.0,57,76,29,5.6,1
3.1,73,86,70,6.0,1
10.3,42,87,58,5.8,1
10.2,62,90,28,7.1,1
3.2,86,40,75,3.3,1
3.1,77,79,27,7.0,1
5.4,64,30,48,9.6,1
2.3,99,32,72,8.6,1
10.5,56,87,90,10.0,1
11.4,89,60,33,4.2,1
8.6,78,98,22,6.0,1
11.7,35,72,42,4.7,1
10.0,62,47,83,8.2,1
